Dewey,Title,Subject,CheckoutDate,CheckoutCount,DaysCheckedOut,Topic,Contribution,TopicTerms,,,,,,,,
929,Blosser family history,Blosser family,39112,1,41,37,0.333,history industry military food aircraft technology money events man franklin,,,,,,,,
973,Womens work in the civil war a record of heroism patriotism and patience,Women in war,39113,10,16,32,0.5,war world civil photography operations ii artistic naval german aerial,,,,,,,,
371,Seattle Times school guide public primary kindergarten high school,High schools Washington State Puget Sound Region Directories,39113,670,15,31,0.467,washington state sound puget region resources mines plan high king,,,,,,,,
780,rough guide to world music Vol 1 Africa Middle East,Music Africa,39113,180,40,34,0.25,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
799,African nature notes and reminiscences,Animal behavior,39113,3,34,37,0.25,history industry military food aircraft technology money events man franklin,,,,,,,,
695,Handbook on galvanized iron for cornices marquises and skylights,Ironwork,39113,3,35,5,0.333,years national complete france park french color furniture hundred mount,,,,,,,,
738,Carved decorated European art glass,Art glass Europe,39113,4,41,26,0.5,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
974,Gazetteer of Berkshire County Mass 1725 1885,Berkshire County Mass History,39113,2,68,33,0.714,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
629,Consumer guide Car truck test,Automobiles Purchasing United States Periodicals,39114,312,18,14,0.25,periodicals japanese japan james notes ship index information symbols psychology,,,,,,,,
929,Thomas families of Plymouth County Massachusetts genealogies of the families of David Thomas of Middleboro 1620 1689 John Thomas of Marshfield 1621 1691 and William Thomas of Marshfield 1573 1651,Thomas family,39114,4,34,15,0.375,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
330,Siberia and the Pacific a study of economic development and trade prospects,Siberia Eastern Russia Economic conditions,39114,1,11,24,0.273,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
385,To the great ocean Siberia and the Trans Siberian Railway,Velikaia Sibirskaia magistral,39114,1,20,30,0.222,mass air human town de practice power anatomy cars spanish,,,,,,,,
796,Hockey guide,Hockey United States Periodicals,39114,2,27,12,0.667,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
496,Lingala basic course,Lingala language,39114,1,28,36,0.5,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
355,Japanese military dictionary Japanese English English Japanese,Military art and science Dictionaries Japanese,39114,3,33,36,0.4,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
573,mind of primitive man,Race,39114,2,41,30,0.333,mass air human town de practice power anatomy cars spanish,,,,,,,,
396,Business girls a study of their interests and problems,Women Employment,39114,1,60,26,0.2,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
929,Aaron Stark family seven generations of the descendants of Aaron Stark of Groton Connecticut,Stark family,39115,1,27,15,0.556,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
326,Black West,Frontier and pioneer life West U S,39115,6,20,24,1,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
975,Annals of Tazewell County Virginia from 1800 to 1922,Tazewell County Va History,39115,4,32,33,0.571,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
970,Indian wars of Pennsylvania an account of the Indian events in Pennsylvania of the French and Indian war Pontiacs War Lord Dunmores Warthe Revolutionary War and the Indian uprising from 1789 to 1795 tradegies of the Pennsylvania front,Indians of North America Wars 1750 1815,39115,4,24,29,0.375,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
533,Perchance a short history of British naval aviation,Aeronautics Military Great Britain,39115,1,25,37,0.222,history industry military food aircraft technology money events man franklin,,,,,,,,
741,Wanted poster series,Posters,39115,6,32,32,0.5,war world civil photography operations ii artistic naval german aerial,,,,,,,,
975,conquest of Virginia the second attempt an account based on original documents of the attempt under the Kings form of government to found Virginia at Jamestown 1606 1610,Smith John 1580 1631,39115,3,38,34,0.2,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
929,Massey genealogy Addendum,Massey family,39115,1,73,15,0.667,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
629,Alfa Romeo owners bible a hands on guide to getting the most from your Alfa,Alfa Romeo automobile Performance,39116,2,65,25,0.333,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
614,Noise report of the Citizens Task Force on Noise Control,City noise Washington State Seattle,39116,2,12,31,0.2,washington state sound puget region resources mines plan high king,,,,,,,,
531,history of mechanics,Wave mechanics,39116,2,32,26,0.667,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
979,Seattle De luxe supplement to The history of Seattle,Seattle Wash Biography,39116,16,18,8,0.714,history seattle wash people sources building natural heritage historic community,,,,,,,,
613,Dick Gregorys natural diet for folks who eat cookin with Mother Nature,Fasting,39118,18,50,21,0.25,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
974,History of Barnet Vermont from the outbreak of the French and Indian War to present time,Barnet Vt History,39118,6,43,19,0.364,family including present account records thomas time day times materials,,,,,,,,
974,History of Dover Vermont 200 years in a hill town,Dover Vt Town History,39118,1,25,30,0.333,mass air human town de practice power anatomy cars spanish,,,,,,,,
623,Mercruiser 888 engine parts manual,Marine engines Parts Catalogs,39118,1,29,26,0.429,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
929,Sabine the history of an ancient English surname illustrated by a chronological list of instances from Saxon times to the nineteenth century together with numrous pedigrees etc,Sabine family,39118,1,53,26,0.188,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
944,Massacre of Saint Bartholomew,Saint Bartholomews Day Massacre of France 1572,39119,1,14,3,0.286,works pictorial popular engineering code handbook motion clocks watches pictures,,,,,,,,
709,pictographic history of the Oglala Sioux,Oglala Indians Pictorial works,39120,4,29,3,0.5,works pictorial popular engineering code handbook motion clocks watches pictures,,,,,,,,
336,State taxation of interstate commerce Report of the Special Subcommittee on State Taxation of Interstate Commerce pursuant to Public law 86 272 as amended,Interstate commerce Taxation United States States,39120,18,20,12,0.211,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
491,Welsh English English Welsh dictionary,Welsh language Dictionaries English,39120,6,73,36,0.714,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
745,Catalogue of Muhammadan textiles of the medieval period,Textile fabrics Islamic,39120,3,9,5,0.429,years national complete france park french color furniture hundred mount,,,,,,,,
748,standard old bottle price guide,Bottles Collectors and collecting United States Catalogs,39120,1,13,10,0.667,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
929,Partridge genealogy descendants of George Partridge of Duxbury Massachusetts,Partridge family,39120,1,42,15,0.429,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
330,Industry in southeast Asia,Asia Southeastern Economic conditions,39120,2,54,11,0.333,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
709,European art to 1850,Art European,39121,2,40,26,0.5,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
951,Taiping Rebellion history and documents,China History Taiping Rebellion 1850 1864,39121,1,6,26,0.333,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
616,ICD 9 CM official guidelines for coding and reporting,Nosology,39121,2,6,37,0.167,history industry military food aircraft technology money events man franklin,,,,,,,,
220,New American standard exhaustive concordance of the Bible including Hebrew Aramaic and Greek dictionaries,Hebrew language Dictionaries English,39121,4,27,36,0.462,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
359,Christening of U S S Astoria heavy cruiser no CA34 December 16 1933,Astoria Cruiser,39121,1,33,35,0.286,design bible gold water railroad coins ages roads car model,,,,,,,,
616,Pathophysiology adaptations and alterations in function,Physiology Pathological,39122,1,5,29,0.5,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
629,Chiltons truck van service manual,Trucks Maintenance and repair Handbooks manuals etc,39124,28,5,25,0.875,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
392,Chinese footbinding the history of a curious erotic custom,Footbinding China,39125,2,29,20,0.333,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
347,law of alternative dispute resolution,Dispute resolution Law United States Popular works,39125,3,22,12,0.3,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
977,Lawrence County Missouri 1845 1970 a brief history,Lawrence County Mo History,39125,1,24,33,0.667,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
392,Chinese family and society,Family China,39125,2,29,26,0.333,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
929,book o Beggs a genealogical study of the Beggs family in America also gleanings concerning this ancient Gaelic family of Beg Begg Beig Begge Beggs,Beggs family,39125,1,36,36,0.294,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
614,Noise and noise control,Noise,39125,2,56,5,0.667,years national complete france park french color furniture hundred mount,,,,,,,,
398,strangest story ever told,Legends Alaska Thomas Bay,39126,1,65,11,0.4,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
591,edge of the sea,Seashore biology,39126,13,10,23,0.333,history england britain union costume ireland fashion london germany soviet,,,,,,,,
976,history of Rutherford County,Rutherford County Tenn History,39126,1,16,33,0.5,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
979,story of El Tejon,Fort Tejon Calif,39126,1,16,9,0.4,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
940,Marshalls increasing the tempo,World War 1939 1945 Campaigns Marshall Islands,39127,1,29,32,0.667,war world civil photography operations ii artistic naval german aerial,,,,,,,,
387,legendary DC 3,Douglas DC 3 Transport plane,39127,1,2,17,0.75,books encyclopedia international western laws society system transport general relations,,,,,,,,
629,Fifty glorious years a pictorial tribute to the Douglas DC3 1935 1985,Douglas DC 3 Transport plane,39127,1,2,17,0.444,books encyclopedia international western laws society system transport general relations,,,,,,,,
629,Canadair North Star,Canadair DC 4M Transport plane,39127,1,2,26,0.2,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
979,Seattle and environs 1852 1924,Seattle Wash History,39127,56,148,8,0.75,history seattle wash people sources building natural heritage historic community,,,,,,,,
976,rumble of a distant drum the Quapaws and old world newcomers 1673 1804,Quapaw Indians First contact with Europeans,39127,15,11,29,0.333,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
917,dog puncher on the Yukon,Klondike River Valley Yukon Gold discoveries,39128,2,33,35,0.286,design bible gold water railroad coins ages roads car model,,,,,,,,
738,collectors guide to patent and proprietary medicine bottles of the nineteenth century,Medicine bottles Catalogs,39128,2,27,10,0.333,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
330,British war economy,World War 1939 1945 Economic aspects Great Britain,39128,2,15,11,0.429,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
929,forbearers and descendants of Henry and Abigail Barringer,Barringer family,39128,1,61,15,0.333,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
627,Planning and design guidelines for small craft harbors,Marinas Design and construction,39128,1,5,35,0.375,design bible gold water railroad coins ages roads car model,,,,,,,,
627,Marinas and small craft harbors,Harbors Design and construction,39128,14,21,35,0.333,design bible gold water railroad coins ages roads car model,,,,,,,,
332,Biography of a bank the story of Bank of America N T S A,Banks and banking,39128,6,15,17,0.333,books encyclopedia international western laws society system transport general relations,,,,,,,,
369,Girl Scout collectors guide 75 years of uniforms insignia publications and keepsakes,Girl Scouts of the United States of America Collectibles,39129,3,56,10,0.308,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
699,Building a plywood snipe,Plywood boats,39129,2,40,7,0.5,music marine criticism ships van methods division corps trail theory,,,,,,,,
178,Alcohol how it affects the individual the community and the race,Temperance,39129,2,52,8,0.4,history seattle wash people sources building natural heritage historic community,,,,,,,,
799,North American falconry and hunting hawks,Birds of prey,39130,20,30,37,0.2,history industry military food aircraft technology money events man franklin,,,,,,,,
378,College blue book,Universities and colleges United States,39130,16,59,20,0.4,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
622,Mining history of Pierce County Washington coal fields 1860 1962,Coal mines and mining Washington State Pierce County History,39131,2,2,31,0.308,washington state sound puget region resources mines plan high king,,,,,,,,
630,have more plan A little land a lot of living How to make a small cash income into the best and happiest living any family could want,Agriculture,39133,6,15,4,0.25,york architecture army city year construction planes philosophy henry fighter,,,,,,,,
710,Design with nature,Human ecology,39133,3,15,30,0.333,mass air human town de practice power anatomy cars spanish,,,,,,,,
368,Equitable Life Assurance Society of the United States 1859 1964,Equitable Life Assurance Society of the United States,39133,4,1,12,0.4,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
358,Albatros D Va German fighter of World War I,Albatros D Fighter plane,39133,1,2,32,0.375,war world civil photography operations ii artistic naval german aerial,,,,,,,,
364,Master index to the J F K assassination investigations the reports and supporting volumes of the House Select Committee on Assassinations and the Warren Commission,Kennedy John F John Fitzgerald 1917 1963 Assassination Indexes,39133,3,16,16,0.176,great book medicine british birds catalogue lake medical wood exhibitions,,,,,,,,
16,Book of inside information money health success marriage education car collecting fitness home travel shopping taxes,Life skills United States,39134,1,30,28,0.167,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
917,old Mohawk Turnpike book A historical and present day description of the Mohawk Valley from Schenectady to Rome traversed by this historic road,Mohawk River Valley N Y,39134,2,44,6,0.313,river valley story roman italian mexico egypt collection fishes identification,,,,,,,,
681,Ice cream dippers an illustrated history and collectors guide to early ice cream dippers,Ice cream scoops,39134,4,20,27,0.417,history early making wine kentucky white italy study americas physics,,,,,,,,
796,Baseball cyclopedia,Baseball,39134,2,73,9,0.5,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
929,Worden family an account of some of the descendants of Peter Worden of Yarmouth Massachusetts,Worden family,39134,1,13,19,0.5,family including present account records thomas time day times materials,,,,,,,,
929,genealogy of Henry Judson Chapin his ancestors his descendants,Chopin family,39134,1,13,15,0.571,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
911,Atlas of world history,Historical geography Maps,39134,13,19,13,0.4,pacific northwest historical coast columbia oregon project names plants geography,,,,,,,,
641,Lamu cookbook,Cookery Kenyan,39135,1,6,35,0.5,design bible gold water railroad coins ages roads car model,,,,,,,,
622,Small scale placer mining,Hydraulic mining,39135,1,4,16,0.5,great book medicine british birds catalogue lake medical wood exhibitions,,,,,,,,
354,governance of Hawaii a study in territorial administration,Hawaii Politics and government,39135,1,22,10,0.429,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
756,Art and the great war,World War 1914 1918 Art and the war,39135,4,4,32,0.667,war world civil photography operations ii artistic naval german aerial,,,,,,,,
749,Popular arts of the First World War,Kitsch,39135,2,4,32,0.667,war world civil photography operations ii artistic naval german aerial,,,,,,,,
973,Politics reform and expansion 1890 1900,United States History 1865 1898,39135,2,62,12,0.5,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
688,Antique fishing reels your illustrated guide to identifying and understanding U S patented models through 1920,Fishing reels Collectors and collecting,39136,2,7,10,0.455,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
636,Dogs and national defense,Dogs War use,39136,1,24,32,0.25,war world civil photography operations ii artistic naval german aerial,,,,,,,,
778,Optical amusements magic lanterns and other transforming images a catalog of popular entertainments,Projectors,39136,2,41,9,0.25,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
975,Guilford County a map supplement,Guilford County N C History,39136,2,26,37,0.2,history industry military food aircraft technology money events man franklin,,,,,,,,
385,Lackawanna story the first hundred years of the Delaware Lackawanna and Western Railroad,Delaware Lackawanna and Western Railroad Company,39136,1,11,37,0.182,history industry military food aircraft technology money events man franklin,,,,,,,,
932,rise and fall of the middle kingdom in Thebes,Thebes Egypt Extinct city,39136,2,59,24,0.125,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
741,joust for Aleta,Comic books strips etc,39136,2,21,17,0.75,books encyclopedia international western laws society system transport general relations,,,,,,,,
325,Maryland Germans a history,Germans Maryland,39136,1,19,37,0.333,history industry military food aircraft technology money events man franklin,,,,,,,,
581,Flora of Peru,Botany Andes,39136,2,11,29,0.667,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
387,Cape Horn to the Pacific the rise and decline of an ocean highway,United States Commerce History,39136,3,7,22,0.222,report south europe equipment st study mental cultural planning supplies,,,,,,,,
621,Antique tools our American heritage,Tools Collectors and collecting United States,39136,10,18,12,0.286,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
341,European Union handbook and business titles,European Union Directories,39137,8,38,26,0.167,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
616,Elements of medical genetics,Genetic disorders,39138,2,2,30,0.25,mass air human town de practice power anatomy cars spanish,,,,,,,,
979,New Vancouver journal on the discovery of Puget Sound,Northwest Coast of North America Discovery and exploration,39138,16,15,29,0.4,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
720,Bramante,Bramante Donato 1444 1514,39138,15,14,27,0.5,history early making wine kentucky white italy study americas physics,,,,,,,,
840,chevalier dHarmental,OrlÌÄå¢Ìâ‰âÂÌâÅÁans Philippe duc d 1674 1723 Fiction,39139,24,34,35,0.333,design bible gold water railroad coins ages roads car model,,,,,,,,
840,Le chevalier dHarmental,OrlÌÄå¢Ìâ‰âÂÌâÅÁans Philippe duc d 1674 1723 Fiction,39139,24,34,35,0.167,design bible gold water railroad coins ages roads car model,,,,,,,,
16,Iranian cinema,Motion pictures Iran Catalogs,39139,2,52,10,0.333,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
929,Champion genealogy A history of the descendants of Henry Champion of Saybrook and Lyme Connecticut together with some account of other families of the name,Champion family,39139,1,42,19,0.364,family including present account records thomas time day times materials,,,,,,,,
791,Mabel Normand a source book to her life and films,Normand Mabel 1894 1930 Miscellanea,39140,4,14,9,0.286,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
739,sword in the age of chivalry,Swords Medieval,39140,5,31,36,0.25,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
220,critical and exegetical commentary on Micah Zephaniah Nahum Habakkuk Obadiah and Joel,Bible O T Minor Prophets Commentaries,39140,1,20,35,0.417,design bible gold water railroad coins ages roads car model,,,,,,,,
299,Coast Salish spirit dancing the survival of an ancestral religion,Trance,39140,3,20,2,0.333,business reference modern church construction management small industrial practical boats,,,,,,,,
974,Whiskey rebels the story of a frontier uprising,Whiskey Rebellion Pa 1794,39140,1,29,33,0.167,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
709,Archipenko sculpture drawings and prints 1908 1964,Archipenko Alexander 1887 1964,39140,1,8,34,0.5,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
297,Aspects of Islam in post colonial Indonesia five essays,Muslims Indonesia,39140,1,6,36,0.286,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
344,Prisoners self help litigation manual,Prisoners Legal status laws etc United States,39141,10,19,20,0.25,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
270,spreading flame the rise and progress of Christianity,Great Britain Church history 449 1066,39141,9,54,23,0.429,history england britain union costume ireland fashion london germany soviet,,,,,,,,
979,Late prehistoric development of Alaskas native people,Alaska Antiquities,39141,24,65,34,0.333,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
323,report on human rights around the world,Civil rights Periodicals,39141,12,35,32,0.333,war world civil photography operations ii artistic naval german aerial,,,,,,,,
629,Race car engineering and mechanics,Automobiles Racing Design and construction,39141,1,4,21,0.333,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
759,Of water and ink Muromachi period paintings from Japan 1392 1568,Ink painting Japanese Kamakura Momoyama periods 1185 1600 Exhibitions,39141,1,33,14,0.333,periodicals japanese japan james notes ship index information symbols psychology,,,,,,,,
979,By Juan de Fucas strait pioneering along the northwestern edge of the continent,Puget Sound Region Wash History,39141,66,166,31,0.25,washington state sound puget region resources mines plan high king,,,,,,,,
745,20th century American folk self taught and outsider art a resource guide,Folk artists United States Biography,39142,3,4,10,0.25,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
492,Concise Amharic dictionary Amharic English English Amharic,English language Dictionaries Amharic,39142,132,21,36,1,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
599,Jacques Cousteau whales,Whales,39142,1,8,6,1,river valley story roman italian mexico egypt collection fishes identification,,,,,,,,
592,Living invertebrates,Invertebrates,39142,1,8,22,0.5,report south europe equipment st study mental cultural planning supplies,,,,,,,,
384,African American resource guide to the Internet and online services,Internet,39142,2,33,37,0.333,history industry military food aircraft technology money events man franklin,,,,,,,,
709,Decorative motives of Oriental art,Art Asian,39144,4,31,10,0.5,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
712,Arboretum plan a greenprint for the future the Washington Park Arboretum,Washington Park Arboretum,39144,4,2,5,0.625,years national complete france park french color furniture hundred mount,,,,,,,,
699,American ship models and how to build them,Ships,39145,14,39,25,0.333,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
812,tragedy of white injustice,Blacks Poetry,39147,2,35,35,0.25,design bible gold water railroad coins ages roads car model,,,,,,,,
625,Americas highways 1776 1976 a history of the Federal aid program,Roads United States History,39148,3,3,20,0.25,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
622,Lost mines of the great Southwest including stories of hidden treasures,Treasure troves Southwest New,39148,6,5,7,0.333,music marine criticism ships van methods division corps trail theory,,,,,,,,
770,world history of photography,Photography History,39148,2,5,32,0.667,war world civil photography operations ii artistic naval german aerial,,,,,,,,
629,bicycle wheel,Bicycles Wheels,39148,22,12,24,0.5,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
385,Milwaukee Road west,Chicago Milwaukee St Paul and Pacific Railroad Company,39148,18,7,24,0.25,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
947,Cultural atlas of Russia and the Soviet Union,Art Soviet,39149,4,6,23,0.6,history england britain union costume ireland fashion london germany soviet,,,,,,,,
326,key to Uncle Toms cabin presenting the orginial facts and documents upon which the story is founded Together with corroborative statements verifying the truth of the work,Stowe Harriet Beecher 1811 1896 Uncle Toms cabin,39150,2,56,30,0.15,mass air human town de practice power anatomy cars spanish,,,,,,,,
296,history of the Jews of Italy,Jews Italy History,39150,1,63,27,0.4,history early making wine kentucky white italy study americas physics,,,,,,,,
929,Carson Bent Boggs genealogy line of William Carson ancestor of Kit Carson famous scout and pioneer of the Rocky Mountain area with the Western branches of the Bent and Boggs families with whom Kit was associated and the line of Samuel Cars,Carson family,39150,12,45,24,0.28,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
358,T 6 Texan in action,T 6 Training plane,39150,1,5,35,0.25,design bible gold water railroad coins ages roads car model,,,,,,,,
759,Karl Schmidt Rottluff Ausstellungen zum 100 Geburtstag des KÌÄ‰Û_ÌâåÅnstlers GemÌÄå¢Ìâ‰âÂÌâÅ_lde 18 Februar 25 MÌÄå¢Ìâ‰âÂÌâÅ_rz 1984 Aquarelle 24 Mai 26 August 1984 BrÌÄ‰Û_ÌâåÅcke Museum,Schmidt Rottluff Karl 1884 1976 Exhibitions,39151,1,2,17,0.2,books encyclopedia international western laws society system transport general relations,,,,,,,,
929,Orange County Virginia families,Brockman family,39153,6,25,15,0.5,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
629,Light duty truck RVG P models,GMC trucks Maintenance and repair Handbooks manuals etc,39153,3,2,25,0.889,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
699,Sailing ship rigs and rigging with authentic plans of famous vessels of the nineteenth and twentieth centuries,Sailing ships,39154,2,21,18,0.273,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
628,Report of the Council of Hygiene and Public Health of the Citizens Association of New York upon the sanitary condition of the city,Sanitation New York State New York,39154,2,41,4,0.5,york architecture army city year construction planes philosophy henry fighter,,,,,,,,
506,G Dallas Hanna,Hanna G Dallas 1887 1970,39154,2,48,21,1,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
650,Oxford dictionary for the business world,Finance Dictionaries,39154,3,35,36,0.25,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
590,marine museum and aquarium Puget Sound Academy of Science ship of St Paul Seattle,Hiram M Chittenden Locks Seattle Wash,39154,42,767,8,0.429,history seattle wash people sources building natural heritage historic community,,,,,,,,
779,New topographics photographs of a man altered landscape,Photography Artistic Exhibitions,39155,10,30,32,0.286,war world civil photography operations ii artistic naval german aerial,,,,,,,,
974,Embden town of yore olden times and families there and in adjacent towns,Embden Me History,39155,6,26,33,0.125,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
929,Hunsbergers a portion of the genealogical history of a few Swiss Hunspergers also spelled Huntsberger Honsberger Huntzberger,Hunsberger family,39155,3,26,27,0.364,history early making wine kentucky white italy study americas physics,,,,,,,,
709,Saint Germain Poissy Maisons Marley le Roi,ChÌÄ‰ÛÊÌâ‰Ûªteau de Marly le Roi Marly le Roi France,39155,4,44,10,0.267,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
769,Clare Leighton an exhibition American sheaves English seed corn,Leighton Clare 1899 Exhibitions,39155,1,55,28,0.222,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
625,official Pullman Standard library,Pullman Incorporated Pullman Standard Division,39156,2,61,4,0.714,york architecture army city year construction planes philosophy henry fighter,,,,,,,,
929,Winship family in America giving the line of descent from Edward Winship born in England in 1613 who came to Cambridge Massachusetts in 1635 to Jabez Lathrop Winship born in Norwich Conn 1752 died in Brookville Indiana 1827 with t,Winship family,39156,1,15,15,0.429,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
929,One Zumwalt family Zumalt Zeumalt Zum Wald Zumwault Sommalt its many varied and interwoven branches a study paper,Zumwalt family,39156,1,25,19,0.214,family including present account records thomas time day times materials,,,,,,,,
533,last of the flying clipper ships Story history B 314 flying boat,Boeing airplanes,39156,1,25,1,0.444,science record genealogical statistics airplanes christian reading text chronology commercial,,,,,,,,
623,Sigh for a Merlin testing the Spitfire,Spitfire Fighter planes,39156,4,50,30,0.333,mass air human town de practice power anatomy cars spanish,,,,,,,,
683,German handguns the complete book of the pistols and revolvers of Germany 1869 to the present,Pistols Germany History,39156,2,21,23,0.222,history england britain union costume ireland fashion london germany soviet,,,,,,,,
623,Single shot rifles,Rifles,39156,1,20,7,1,music marine criticism ships van methods division corps trail theory,,,,,,,,
690,Handbook of construction tolerances,Tolerance Engineering,39156,2,6,9,0.25,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
929,Searching in Florida a reference guide to public and private records,Genealogists Florida Directories,39157,6,47,20,0.222,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
929,Sacketts of America their ancestors and descendants 1630 1907,Sackett family,39157,3,27,15,0.6,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
749,Illustrated catalogue of kerosene oil burners gas and oil lamp trimmings lamps oil heaters etc,Lamps,39157,1,74,24,0.364,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
919,Majuro a village in the Marshall Islands,Ethnology Marshall Islands,39157,2,33,11,0.667,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
929,Partridge genealogy Descendants of John Partridge of Medfield Mass,Partridge family,39157,2,66,15,0.286,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
15,bibliography of Illinois imprints 1814 1858,Illinois Imprints,39157,1,19,33,0.5,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
368,Actuarial mathematics,Insurance Mathematics,39157,1,2,34,1,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
779,Mirrors messages manifestations,Photography Artistic,39157,1,3,32,0.667,war world civil photography operations ii artistic naval german aerial,,,,,,,,
227,apostolic fathers Revised texts with short introductions and English translations,Fathers of the church,39159,1,6,36,0.375,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
